type,density,porosity,residue,glength
Stonehenge,2.6975,0.83,4.43,11.88
Stonehenge,2.6415,0.59,7.19,10.31
Stonehenge,2.6457,0.67,2.17,12.51
Stonehenge,2.6342,0.5,6.34,10.76
Stonehenge,2.6236,1.1,2.24,8.62
Nittany,2.7278,1.1,8.85,9.85
Nittany,2.748,2.8,7.72,9.6
Nittany,2.6678,4.6,8.18,8.75
Nittany,2.6949,3.5,5.41,9.93
Nittany,2.702,8.6,19.25,10
Nittany,2.736,0.81,15.6,11.41
Nittany,2.742,1.4,16.78,11.49
Nittany,2.6832,2.7,26.29,10.79
Axeann,2.7504,1.2,4.63,10.43
Axeann,2.7194,0.91,23.55,11.56
Axeann,2.6247,1.4,2.56,10.5
Axeann,2.7223,3,10.54,10.74
Axeann,2.6185,1.3,7.06,11.41
Axeann,2.6395,0.18,3.1,12.12
Axeann,2.6252,5.4,18.83,11.59
Axeann,2.6531,0.3,12.65,11.51
Axeann,2.6204,0.56,5.88,11.32
Bellefonte,2.7691,0.93,2.92,10.57
Bellefonte,2.7899,0.23,2.11,11.55
Bellefonte,2.7602,1.5,3.87,10.35
Bellefonte,2.776,0.74,2.82,11.09
Bellefonte,2.7467,0.68,14.09,11.84
Bellefonte,2.7691,1.7,8.6,10.25
Bellefonte,2.7176,2.7,10.05,11.11
Bellefonte,2.6685,2.9,22.08,11.81
Bellefonte,2.8425,1.8,16.39,12.07
