"sugar","chewiness"
176.5,2.1381
176.5,3.6588
176.5,4.7656
176.5,1.1835
176.5,3.7518
176.5,1.8404
176.5,2.2266
176.5,4.1262
176.5,4.9845
176.5,5.5386
176.5,4.3668
176.5,4.4714
176.5,2.499
176.5,2.8283
176.5,3.0703
192.6,2.2918
192.6,3.9924
192.6,3.0021
192.6,3.4332
192.6,3.6314
192.6,1.6526
192.6,3.7707
192.6,3.3163
192.6,3.6039
192.6,4.4036
192.6,3.456
192.6,3.738
192.6,4.296
192.6,3.0917
192.6,3.4703
209.3,2.7466
209.3,1.8552
209.3,2.6526
209.3,3.1171
209.3,2.5941
209.3,3.4251
209.3,3.964
209.3,3.3389
209.3,0.6925
209.3,3.3025
209.3,2.7557
209.3,3.9685
209.3,3.2016
209.3,3.9999
209.3,3.0857
225,1.6433
225,2.0722
225,2.1001
225,4.3682
225,2.3977
225,0.995
225,4.4895
225,0.8833
225,2.6824
225,3.4452
225,3.7186
225,3.1528
225,1.3621
225,3.1512
225,4.1883
242.1,2.2401
242.1,2.0816
242.1,1.4054
242.1,1.1273
242.1,2.0976
242.1,1.4141
242.1,2.1817
242.1,2.2254
242.1,3.2145
242.1,3.3571
242.1,1.2011
242.1,1.2226
242.1,2.3168
242.1,1.4921
242.1,2.5725
258.5,1.2349
258.5,1.69
258.5,1.9316
258.5,2.6551
258.5,1.9119
258.5,2.112
258.5,2.3469
258.5,2.04
258.5,1.5142
258.5,1.5389
258.5,1.7064
258.5,1.2969
258.5,1.0169
258.5,0.4185
258.5,2.236
